match_id,match_date,tournament_name,stage_name,group_stage,knockout_stage,home_team_name,away_team_name,home_team_score,away_team_score,home_team_win,away_team_win,draw,result
wc2026_0000,2026-06-11,2026 FIFA Men's World Cup,group stage,1,0,Mexico,South Africa,2,0,1,0,0,home team win
wc2026_0001,2026-06-11,2026 FIFA Men's World Cup,group stage,1,0,South Korea,Czech Republic,2,1,1,0,0,home team win
wc2026_0002,2026-06-18,2026 FIFA Men's World Cup,group stage,1,0,Czech Republic,South Africa,1,1,0,0,1,draw
wc2026_0003,2026-06-18,2026 FIFA Men's World Cup,group stage,1,0,Mexico,South Korea,1,0,1,0,0,home team win
wc2026_0004,2026-06-24,2026 FIFA Men's World Cup,group stage,1,0,Mexico,Czech Republic,3,0,1,0,0,home team win
wc2026_0005,2026-06-24,2026 FIFA Men's World Cup,group stage,1,0,South Africa,South Korea,1,0,1,0,0,home team win
wc2026_0006,2026-06-12,2026 FIFA Men's World Cup,group stage,1,0,Canada,Bosnia and Herzegovina,1,1,0,0,1,draw
wc2026_0007,2026-06-13,2026 FIFA Men's World Cup,group stage,1,0,Qatar,Switzerland,1,1,0,0,1,draw
wc2026_0008,2026-06-18,2026 FIFA Men's World Cup,group stage,1,0,Switzerland,Bosnia and Herzegovina,4,1,1,0,0,home team win
wc2026_0009,2026-06-18,2026 FIFA Men's World Cup,group stage,1,0,Canada,Qatar,6,0,1,0,0,home team win
wc2026_0010,2026-06-24,2026 FIFA Men's World Cup,group stage,1,0,Canada,Switzerland,1,2,0,1,0,away team win
wc2026_0011,2026-06-24,2026 FIFA Men's World Cup,group stage,1,0,Qatar,Bosnia and Herzegovina,1,3,0,1,0,away team win
wc2026_0012,2026-06-13,2026 FIFA Men's World Cup,group stage,1,0,Brazil,Morocco,1,1,0,0,1,draw
wc2026_0013,2026-06-13,2026 FIFA Men's World Cup,group stage,1,0,Scotland,Haiti,1,0,1,0,0,home team win
wc2026_0014,2026-06-19,2026 FIFA Men's World Cup,group stage,1,0,Scotland,Morocco,0,1,0,1,0,away team win
wc2026_0015,2026-06-19,2026 FIFA Men's World Cup,group stage,1,0,Brazil,Haiti,3,0,1,0,0,home team win
wc2026_0016,2026-06-24,2026 FIFA Men's World Cup,group stage,1,0,Scotland,Brazil,0,3,0,1,0,away team win
wc2026_0017,2026-06-24,2026 FIFA Men's World Cup,group stage,1,0,Morocco,Haiti,4,2,1,0,0,home team win
wc2026_0018,2026-06-12,2026 FIFA Men's World Cup,group stage,1,0,United States,Paraguay,4,1,1,0,0,home team win
wc2026_0019,2026-06-13,2026 FIFA Men's World Cup,group stage,1,0,Australia,Turkey,2,0,1,0,0,home team win
wc2026_0020,2026-06-19,2026 FIFA Men's World Cup,group stage,1,0,United States,Australia,2,0,1,0,0,home team win
wc2026_0021,2026-06-19,2026 FIFA Men's World Cup,group stage,1,0,Turkey,Paraguay,0,1,0,1,0,away team win
wc2026_0022,2026-06-25,2026 FIFA Men's World Cup,group stage,1,0,Turkey,United States,3,2,1,0,0,home team win
wc2026_0023,2026-06-25,2026 FIFA Men's World Cup,group stage,1,0,Paraguay,Australia,0,0,0,0,1,draw
wc2026_0024,2026-06-15,2026 FIFA Men's World Cup,group stage,1,0,Belgium,Egypt,1,1,0,0,1,draw
wc2026_0025,2026-06-15,2026 FIFA Men's World Cup,group stage,1,0,Iran,New Zealand,2,2,0,0,1,draw
wc2026_0026,2026-06-21,2026 FIFA Men's World Cup,group stage,1,0,Belgium,Iran,0,0,0,0,1,draw
wc2026_0027,2026-06-21,2026 FIFA Men's World Cup,group stage,1,0,Egypt,New Zealand,3,1,1,0,0,home team win
wc2026_0028,2026-06-26,2026 FIFA Men's World Cup,group stage,1,0,Belgium,New Zealand,5,1,1,0,0,home team win
wc2026_0029,2026-06-26,2026 FIFA Men's World Cup,group stage,1,0,Egypt,Iran,1,1,0,0,1,draw
wc2026_0030,2026-06-14,2026 FIFA Men's World Cup,group stage,1,0,Germany,Curaçao,7,1,1,0,0,home team win
wc2026_0031,2026-06-14,2026 FIFA Men's World Cup,group stage,1,0,Ivory Coast,Ecuador,1,0,1,0,0,home team win
wc2026_0032,2026-06-20,2026 FIFA Men's World Cup,group stage,1,0,Germany,Ivory Coast,2,1,1,0,0,home team win
wc2026_0033,2026-06-20,2026 FIFA Men's World Cup,group stage,1,0,Ecuador,Curaçao,0,0,0,0,1,draw
wc2026_0034,2026-06-25,2026 FIFA Men's World Cup,group stage,1,0,Curaçao,Ivory Coast,0,2,0,1,0,away team win
wc2026_0035,2026-06-25,2026 FIFA Men's World Cup,group stage,1,0,Ecuador,Germany,2,1,1,0,0,home team win
wc2026_0036,2026-06-15,2026 FIFA Men's World Cup,group stage,1,0,Spain,Cabo Verde,0,0,0,0,1,draw
wc2026_0037,2026-06-15,2026 FIFA Men's World Cup,group stage,1,0,Saudi Arabia,Uruguay,1,1,0,0,1,draw
wc2026_0038,2026-06-21,2026 FIFA Men's World Cup,group stage,1,0,Spain,Saudi Arabia,4,0,1,0,0,home team win
wc2026_0039,2026-06-21,2026 FIFA Men's World Cup,group stage,1,0,Uruguay,Cabo Verde,2,2,0,0,1,draw
wc2026_0040,2026-06-26,2026 FIFA Men's World Cup,group stage,1,0,Cabo Verde,Saudi Arabia,0,0,0,0,1,draw
